fid,Site,Longitude,Latitude,Ve,Vn,Se,Sn,Corr,X,Y
1,ALTA,96.25,46.55,3.9,2,0.4,0.3,0.039,10714500.9888526,5868929.46316788
2,ANGA,106.58,52.79,-0.9,1.5,0.5,0.4,-0.001,11864431.3287471,6944247.67943591
3,ARVA,102.79,46.26,6.1,-0.7,0.9,0.8,-0.067,11442530.4586406,5822112.7482758
4,ARVX,103.02,46.12,5.2,1,1,0.6,-0.045,11468133.941523,5799600.20186434
5,BADA,102.21,51.76,0.6,-0.5,0.3,0.3,-0.012,11377965.1539805,6756846.16547357
6,BATS,110.85,48.52,1,-3.5,0.7,0.5,0.087,12339765.5544344,6193804.45177003
7,BAYA,105.5,53.06,-2.2,3,0.6,0.6,-0.01,11744206.2786904,6994104.01722214
8,BOL1,98.05,49.21,2.3,-0.2,0.3,0.3,0.009,10914876.0722805,6310569.41153745
9,BOL2,97.98,49.08,3,1.4,0.4,0.4,0.004,10907083.7079249,6288446.63796879
10,BULG,103.52,48.8,1.5,0.5,0.3,0.3,-0.004,11523793.6869197,6240993.4634589
11,BZUR,98.98,50.18,1.6,-0.9,0.4,0.3,-0.023,11018403.1987182,6477507.223365
12,CHOI,114.58,48.09,2,-2.4,0.5,0.4,0.058,12754987.2550933,6121840.70979701
13,DALA,104.43,43.59,4.8,1.2,0.3,0.2,-0.015,11625094.4235416,5402211.42212132
14,ERBL,101.61,50.1,1.4,2.1,0.3,0.3,0.001,11311173.4595045,6463612.12425767
15,ERDE,104.22,49.04,-0.3,-2.6,1.4,1,-0.017,11601717.330475,6281651.28453134
16,HADR,103.22,52.26,-0.5,-0.9,0.4,0.5,0.037,11490397.8396817,6847274.00786381
17,HARA,102.35,51.6,0.8,1,1.1,0.9,-0.034,11393549.8826915,6728120.96814431
18,HOVD,91.63,47.76,2.1,4.7,0.5,0.3,0.025,10200204.9413877,6067019.85700956
19,IKUL,98.8,48.71,2.7,-0.1,0.5,0.3,-0.003,10998365.6903754,6225796.95392075
20,IRKT,104.32,52.22,-0.6,0.3,0.1,0.1,-0.052,11612849.2795543,6840002.44472608
21,KHAR,100.79,44.47,3.9,-0.1,0.5,0.4,0.015,11219891.477054,5538466.20295752
22,KIAT,106.49,50.74,1.8,-0.6,0.2,0.2,-0.022,11854412.5745757,6575430.95874858
23,KULT,103.74,51.77,0.7,0.2,0.3,0.3,0.004,11548283.9748942,6758644.86623307
24,LIST,104.89,51.85,0.1,2.1,0.3,0.2,-0.041,11676301.3893065,6773048.83963686
25,MAND,106.22,45.8,3.6,-0.2,0.4,0.3,-0.03,11824356.3120615,5748356.80160294
26,MOND,100.91,51.62,0.5,-0.4,0.4,0.3,-0.017,11233249.8159492,6731706.07355664
27,MURN,100.1,49.66,2.1,0.3,0.4,0.4,-0.041,11143081.0284067,6387600.71841345
28,NSEL,102.81,49.45,0.5,1.1,0.4,0.3,-0.013,11444756.8484565,6351564.79996172
29,NVSK,83.24,54.84,-0.7,1.3,0.7,0.5,0.014,9266234.41363209,7330875.09258369
30,ORLK,99.8,52.54,-0.4,2.2,0.4,0.3,-0.038,11109685.1811687,6898359.54435718
31,SLYU,103.7,51.65,0.9,0,0.3,0.2,-0.003,11543831.1952625,6737086.69550241
32,SSEL,102.96,49.29,1.4,0.5,0.4,0.4,0.011,11461454.7720754,6324212.35122849
33,SUKG,106.25,50.23,1.2,-1.5,0.3,0.3,-0.038,11827695.8967853,6486203.48010797
34,TEEG,101.44,45.67,2,-1.7,0.6,0.4,0.01,11292249.1460697,5727623.27676017
35,TES1,95.87,49.62,0.3,2.4,0.5,0.4,0.047,10672199.5823511,6380724.77358479
36,TSET,101.8,47.52,4.3,-1.4,0.5,0.4,-0.011,11332324.1627552,6027368.22106761
37,TURK,108.24,52.97,1,-0.3,0.3,0.3,-0.01,12049221.6834639,6977450.65910838
38,UDUN,106.01,51.17,1.5,-0.9,0.2,0.2,-0.036,11800979.2189949,6651420.02404798
39,ULA1,107.05,47.87,3.7,-1.8,0.3,0.2,-0.011,11916751.4894199,6085254.65218746
40,ULAA,92.08,49.97,0.8,2.8,0.4,0.3,0.032,10250298.7122446,6441081.98956829
41,ULGI,89.94,48.98,2.1,4.6,0.5,0.4,0.032,10012075.001947,6271468.49355998
42,ULIA,96.78,47.61,3.6,0.7,0.5,0.3,0.018,10773500.318973,6042216.25041143
43,UNDE,110.59,47.26,1.8,-0.6,0.6,0.4,0.071,12310822.4868281,5984616.43135255
44,UNDU,101.31,43.09,3.2,0.5,0.5,0.3,0.017,11277777.6122665,5325680.81312965
45,URUM,87.6,43.81,2.6,10,0.2,0.1,-0.001,9751587.39349076,5436086.17097514
46,UZUR,107.74,53.33,-0.8,2,0.4,0.4,0.04,11993561.9380673,7044273.80043242
47,ZAKM,103.28,50.38,2.5,0.8,0.5,0.6,0.06,11497077.0091293,6512347.09158884
